[0:27 pm, 01/12/2021] 🄹🄰🅂🄱🄸🅁 🅂🄸🄽🄶🄷: from now onwards  please speak English
[0:28 pm, 01/12/2021] Vikrant: Okk
[0:28 pm, 01/12/2021] 🄹🄰🅂🄱🄸🅁 🅂🄸🄽🄶🄷: and don't use abusive works
[0:28 pm, 01/12/2021] Vikrant: Sure
[0:28 pm, 01/12/2021] 🄹🄰🅂🄱🄸🅁 🅂🄸🄽🄶🄷: so what you were saying above??
[0:29 pm, 01/12/2021] Vikrant: Nothng
[0:29 pm, 01/12/2021] 🄹🄰🅂🄱🄸🅁 🅂🄸🄽🄶🄷: means you don't want to communicate?
[0:30 pm, 01/12/2021] Vikrant: Okk
[0:30 pm, 01/12/2021] Yash Mudgal: cse ki hori hai
[0:30 pm, 01/12/2021] Yash Mudgal: 🥳
[0:30 pm, 01/12/2021] 🄹🄰🅂🄱🄸🅁 🅂🄸🄽🄶🄷: who said this?
[0:31 pm, 01/12/2021] Yash Mudgal: shyad cls me kuch bakchodi chlri hai
[0:31 pm, 01/12/2021] Vikrant: 😁
[0:31 pm, 01/12/2021] Yash Mudgal: jaake dekhma
[0:31 pm, 01/12/2021] Vikrant: Yash
[0:31 pm, 01/12/2021] 🄹🄰🅂🄱🄸🅁 🅂🄸🄽🄶🄷: its not the first time?
[0:32 pm, 01/12/2021] Yash Mudgal: Ok
[0:32 pm, 01/12/2021] Yash Mudgal: Bitches
